                                  mean       median        [0.25 - 0.75]      [0.001 - 0.999]                 units
Initial_UF_rate               0.152717     0.133191        0.080 - 0.200        0.000 - 0.600                      
Initial_BFR                   3.624579     3.174603        2.299 - 4.615       0.669 - 11.658                      
SBP                         126.695058   124.000000    108.000 - 143.000     65.000 - 200.000                  mmHg
MAP                          88.145395    86.333333      75.667 - 99.000     46.667 - 144.333                  mmHg
DC                           13.982803    14.000000      13.800 - 14.100      10.000 - 15.800                 mS/cm
Pulse                        85.479074    84.000000      73.000 - 96.000     45.000 - 149.000                   bpm
DT                           36.331665    36.500000      36.000 - 36.600      35.000 - 38.700                    °C
RR                           19.625126    18.000000      16.000 - 22.000       5.000 - 59.000           breaths/min
O2Sat                        97.333273    98.000000     96.000 - 100.000     71.000 - 100.000                     %
UF                           11.605635     7.603834       0.141 - 18.153       0.000 - 82.744                 mL/kg
UF_rate                       0.115675     0.105159        0.030 - 0.171        0.000 - 0.600             mL/kg/min
BFR                           3.787797     4.000000        2.490 - 5.277       0.000 - 12.268             mL/kg/min
W_SBP_MAX                   132.376832   130.000000    114.000 - 149.000     79.000 - 200.000                  mmHg
W_SBP_MIN                   121.375749   119.000000    103.000 - 137.000     60.000 - 200.000                  mmHg
W_SBP_LWA                   126.741474   124.000000    108.524 - 142.456     72.171 - 200.000                  mmHg
W_SBP_TWA                   127.301298   124.666667    109.178 - 143.000     74.281 - 200.000                  mmHg
W_SBP_WSLOPE                 -0.013664     0.000000       -0.221 - 0.200       -3.460 - 3.500              mmHg/min
W_SBP_VAR                     9.201949     7.000000       4.000 - 12.000       0.000 - 67.000         mmHg/interval
W_MAP_MAX                    92.079303    90.333333     79.667 - 103.000     53.333 - 146.667                  mmHg
W_MAP_MIN                    84.461227    82.666667      72.333 - 95.000     43.333 - 140.667                  mmHg
W_MAP_LWA                    88.165547    86.396474      76.190 - 98.698     50.776 - 142.298                  mmHg
W_MAP_TWA                    88.451671    86.777778      76.593 - 98.889     51.579 - 142.444                  mmHg
W_MAP_WSLOPE                 -0.006587     0.000000       -0.146 - 0.133       -2.455 - 2.515              mmHg/min
W_MAP_VAR                     6.402299     4.666667        2.667 - 8.000       0.000 - 52.667         mmHg/interval
W_Pulse_MAX                  87.665566    86.000000      75.000 - 99.000     47.000 - 156.000                   bpm
W_Pulse_MIN                  82.951738    82.000000      71.000 - 94.000     43.000 - 138.000                   bpm
W_Pulse_LWA                  85.380203    83.978723      73.000 - 96.194     45.427 - 143.410                   bpm
W_Pulse_TWA                  84.968791    83.577778      72.822 - 95.778     45.000 - 142.200                   bpm
W_Pulse_WSLOPE                0.012025     0.000000       -0.067 - 0.089       -1.869 - 2.052               bpm/min
W_Pulse_VAR                   3.846340     2.666667        1.000 - 4.500       0.000 - 44.000          bpm/interval
W_RR_MAX                     21.371104    20.000000      17.000 - 24.000       6.000 - 60.000           breaths/min
W_RR_MIN                     17.937667    18.000000      15.000 - 20.000       5.000 - 47.000           breaths/min
W_RR_LWA                     19.610450    18.507937      16.000 - 22.085       5.312 - 51.915           breaths/min
W_RR_TWA                     19.550542    18.400000      16.000 - 22.000       5.000 - 52.000           breaths/min
W_RR_WSLOPE                   0.001669     0.000000       -0.054 - 0.055       -1.250 - 1.333       breaths/min/min
W_RR_VAR                      3.002868     2.000000        1.000 - 4.000       0.000 - 27.000  breaths/min/interval
W_O2Sat_MAX                  97.925327    99.000000     97.000 - 100.000     82.000 - 100.000                     %
W_O2Sat_MIN                  96.624500    97.000000      95.000 - 99.000     70.000 - 100.000                     %
W_O2Sat_LWA                  97.315742    98.000000      95.986 - 99.671     78.000 - 100.000                     %
W_O2Sat_TWA                  97.256829    98.000000      96.000 - 99.556     79.000 - 100.000                     %
W_O2Sat_WSLOPE                0.002591     0.000000       -0.011 - 0.022       -0.951 - 0.812                 %/min
W_O2Sat_VAR                   1.231691     1.000000        0.000 - 1.000       0.000 - 21.000            %/interval
W_UF_rate_TWA                 0.118222     0.109237        0.036 - 0.173        0.000 - 0.600             mL/kg/min
W_BFR_TWA                     3.652283     3.795087        2.298 - 5.135       0.000 - 12.032             mL/kg/min
CW_SBP_TWA                  127.730430   125.000000    110.000 - 143.000     79.286 - 200.000                  mmHg
CW_SBP_WSLOPE                -0.027026     0.000000       -0.089 - 0.058       -6.400 - 5.500              mmHg/min
CW_SBP_VAR                    7.513235     6.400000       0.000 - 11.167       0.000 - 55.000         mmHg/interval
CW_SBP_DELTA                 -2.623307     0.000000       -9.000 - 3.000     -85.000 - 68.000                  mmHg
CW_MAP_TWA                   88.630401    87.000000      77.000 - 98.785     53.333 - 142.667                  mmHg
CW_MAP_WSLOPE                -0.013225     0.000000       -0.056 - 0.041       -4.401 - 4.109              mmHg/min
CW_MAP_VAR                    5.206975     4.222222        0.000 - 7.619       0.000 - 41.000         mmHg/interval
CW_MAP_DELTA                 -1.284123     0.000000       -5.667 - 2.667     -57.454 - 50.333                  mmHg
CW_DC_TWA                    13.983649    14.000000      13.836 - 14.100      10.000 - 16.000                 mS/cm
CW_DC_WSLOPE                  0.000043     0.000000        0.000 - 0.000       -0.055 - 0.086             mS/cm/min
CW_DC_VAR                     0.073798     0.000000        0.000 - 0.044        0.000 - 1.650        mS/cm/interval
CW_DC_DELTA                   0.005540     0.000000        0.000 - 0.000       -1.700 - 1.900                 mS/cm
CW_Pulse_TWA                 84.619198    83.155556      72.667 - 95.118     45.107 - 141.000                   bpm
CW_Pulse_WSLOPE               0.014466     0.000000       -0.015 - 0.042       -2.398 - 2.953               bpm/min
CW_Pulse_VAR                  3.158907     2.250000        0.000 - 4.500       0.000 - 33.000          bpm/interval
CW_Pulse_DELTA                1.457362     0.000000       -1.000 - 4.000     -42.000 - 57.000                   bpm
CW_DT_TWA                    36.321497    36.400000      36.000 - 36.600      35.000 - 38.748                    °C
CW_DT_WSLOPE                  0.000199     0.000000       -0.000 - 0.000       -0.100 - 0.100                °C/min
CW_DT_VAR                     0.094536     0.028571        0.000 - 0.100        0.000 - 1.800           °C/interval
CW_DT_DELTA                   0.025383     0.000000        0.000 - 0.000       -2.700 - 2.100                    °C
CW_RR_TWA                    19.534645    18.433333      16.000 - 22.000       5.000 - 52.000           breaths/min
CW_RR_WSLOPE                  0.000633     0.000000       -0.013 - 0.014       -2.000 - 2.000       breaths/min/min
CW_RR_VAR                     2.352226     1.750000        0.000 - 3.600       0.000 - 22.000  breaths/min/interval
CW_RR_DELTA                   0.043390     0.000000       -1.000 - 1.000     -28.000 - 30.000           breaths/min
CW_O2Sat_TWA                 97.259199    98.000000      96.000 - 99.417     78.000 - 100.000                     %
CW_O2Sat_WSLOPE               0.001740     0.000000        0.000 - 0.005       -1.000 - 1.000                 %/min
CW_O2Sat_VAR                  0.948486     0.333333        0.000 - 1.333       0.000 - 16.000            %/interval
CW_O2Sat_DELTA                0.128645     0.000000        0.000 - 0.000     -21.000 - 19.000                     %
CW_UF_rate_TWA                0.119401     0.111599        0.042 - 0.173        0.000 - 0.600             mL/kg/min
CW_BFR_TWA                    3.550382     3.672647        2.261 - 4.971       0.000 - 11.667             mL/kg/min
LS_SBP_TWA                  125.392112   122.653846    108.776 - 139.622     76.863 - 194.780                  mmHg
LS_SBP_WSLOPE                 0.010307     0.009399       -0.064 - 0.084       -0.848 - 0.905              mmHg/min
LS_SBP_VAR                   10.280143     9.166667       6.429 - 12.875       1.308 - 40.500         mmHg/interval
LS_SBP_DELTA                 -1.301664    -1.000000     -13.000 - 11.000     -85.000 - 82.000                  mmHg
LS_SBP_INITIAL              128.058516   126.000000    110.000 - 145.000     68.000 - 200.000                  mmHg
LS_SBP_MAXSCORE            1497.752241   270.000000     0.000 - 2045.000    0.000 - 13940.000              mmHg·min
LS_SBP_MINSCORE             253.657397     0.000000      0.000 - 210.000     0.000 - 5212.000              mmHg·min
LS_MAP_TWA                   87.487572    85.728682      76.551 - 97.179     52.439 - 138.591                  mmHg
LS_MAP_WSLOPE                 0.006887     0.005771       -0.044 - 0.056       -0.605 - 0.666              mmHg/min
LS_MAP_VAR                    7.174790     6.166667        4.278 - 8.933       0.833 - 31.741         mmHg/interval
LS_MAP_DELTA                 -0.373889    -0.333333       -8.667 - 8.000     -59.333 - 57.667                  mmHg
LS_MAP_INITIAL               88.691842    87.333333      76.333 - 99.667     46.667 - 145.000                  mmHg
LS_MAP_MAXSCORE             631.498568     0.000000      0.000 - 671.333     0.000 - 8716.000              mmHg·min
LS_MAP_MINSCORE             174.781748     0.000000      0.000 - 115.000     0.000 - 3526.000              mmHg·min
LS_DC_TWA                    13.994092    14.000000      13.858 - 14.136      13.000 - 16.000                 mS/cm
LS_DC_WSLOPE                 -0.000090     0.000000       -0.000 - 0.000       -0.022 - 0.032             mS/cm/min
LS_DC_VAR                     0.108893     0.033333        0.009 - 0.086        0.000 - 1.320        mS/cm/interval
LS_DC_DELTA                  -0.004083     0.000000        0.000 - 0.000       -2.000 - 2.100                 mS/cm
LS_DC_INITIAL                13.984890    14.000000      13.900 - 14.100      12.900 - 15.500                 mS/cm
LS_Pulse_TWA                 85.544325    84.190476      73.652 - 96.185     47.200 - 139.610                   bpm
LS_Pulse_WSLOPE               0.017037     0.013251       -0.017 - 0.047       -0.536 - 0.574               bpm/min
LS_Pulse_VAR                  4.264955     3.428571        2.167 - 5.333       0.000 - 28.625          bpm/interval
LS_Pulse_DELTA                3.341930     3.000000       -2.000 - 9.000     -47.000 - 61.562                   bpm
LS_Pulse_INITIAL             84.071644    83.000000      72.000 - 95.000     44.000 - 142.000                   bpm
LS_Pulse_MAXSCORE           977.667293    38.000000     0.000 - 1336.000    0.000 - 10320.000               bpm·min
LS_Pulse_MINSCORE            32.609246     0.000000        0.000 - 0.000     0.000 - 2160.000               bpm·min
LS_DT_TWA                    36.321020    36.408984      36.000 - 36.575      35.000 - 37.691                    °C
LS_DT_WSLOPE                  0.000055     0.000000       -0.000 - 0.000       -0.047 - 0.026                °C/min
LS_DT_VAR                     0.106731     0.066667        0.030 - 0.140        0.000 - 1.400           °C/interval
LS_DT_DELTA                   0.045760     0.000000       -0.100 - 0.100       -2.900 - 2.600                    °C
LS_DT_INITIAL                36.293525    36.400000      36.000 - 36.600      35.000 - 39.300                    °C
LS_RR_TWA                    19.548428    18.668966      16.112 - 22.000       7.379 - 47.670           breaths/min
LS_RR_WSLOPE                  0.003645     0.000694       -0.015 - 0.021       -0.358 - 0.315       breaths/min/min
LS_RR_VAR                     3.363994     2.888889        1.889 - 4.333       0.000 - 16.273  breaths/min/interval
LS_RR_DELTA                   0.433593     0.000000       -2.000 - 3.000     -34.000 - 35.000           breaths/min
LS_RR_INITIAL                19.541120    18.000000      16.000 - 22.000       5.000 - 60.000           breaths/min
LS_O2Sat_TWA                 97.407359    97.945525      96.000 - 99.296     83.722 - 100.000                     %
LS_O2Sat_WSLOPE               0.001131     0.000000       -0.007 - 0.010       -0.293 - 0.367                 %/min
LS_O2Sat_VAR                  1.478793     1.071429        0.500 - 2.000       0.000 - 17.000            %/interval
LS_O2Sat_DELTA                0.215380     0.000000       -1.000 - 2.000     -24.000 - 22.000                     %
LS_O2Sat_INITIAL             97.271724    98.000000     96.000 - 100.000     75.000 - 100.000                     %
LS_UF_DELTA                  27.625611    25.824964      16.416 - 36.290      1.269 - 100.000                 mL/kg
LS_UF_rate_TWA                0.143656     0.131108        0.085 - 0.187        0.008 - 0.563             mL/kg/min
LS_UF_rate_MAXSCORE           4.855739     0.068963        0.000 - 6.111       0.000 - 69.616         mL/kg/min·min
LS_BFR_TWA                    4.579859     4.390779        3.431 - 5.479       1.139 - 12.821             mL/kg/min
LS_BFR_TIMEt                  3.733018     3.300330        2.358 - 4.773       0.515 - 12.461             mL/kg/min
LS_TSD                      197.282898    43.800000      22.083 - 53.767    0.000 - 18688.083                 Hours
LIDHO_SBP_TWA               104.938182   102.000000     93.362 - 113.294     60.000 - 186.000                  mmHg
LIDHO_SBP_VAR                14.235993    11.500000       8.000 - 17.500       0.000 - 77.000         mmHg/interval
LIDHO_SBP_DELTA             -26.603808   -22.000000     -40.000 - -8.000    -115.000 - 17.000                  mmHg
LIDHO_SBP_INITIAL           107.734928   103.000000     92.000 - 120.000     60.000 - 189.000                  mmHg
LIDHO_MAP_TWA                74.206965    72.333333      66.524 - 80.556     40.667 - 128.608                  mmHg
LIDHO_MAP_VAR                10.133735     7.733333       5.167 - 13.000       0.000 - 58.667         mmHg/interval
LIDHO_MAP_DELTA             -17.425911   -14.333333     -26.333 - -5.000     -83.000 - 15.667                  mmHg
LIDHO_MAP_INITIAL            75.586665    72.666667      65.000 - 84.333     44.000 - 141.000                  mmHg
LIDHO_DC_TWA                 13.981595    14.000000      13.800 - 14.100      12.400 - 16.000                 mS/cm
LIDHO_DC_VAR                  0.079050     0.000000        0.000 - 0.050        0.000 - 1.825        mS/cm/interval
LIDHO_DC_DELTA                0.007524     0.000000        0.000 - 0.000       -1.800 - 1.700                 mS/cm
LIDHO_DC_INITIAL             13.974207    14.000000      13.800 - 14.100      13.000 - 15.400                 mS/cm
LIDHO_Pulse_TWA              86.663062    85.714286      74.000 - 97.970     49.000 - 140.692                   bpm
LIDHO_Pulse_VAR               4.637824     3.720779        2.000 - 5.667       0.000 - 33.000          bpm/interval
LIDHO_Pulse_DELTA             1.718621     0.000000       -3.000 - 6.000     -40.000 - 64.000                   bpm
LIDHO_Pulse_INITIAL          85.528123    84.000000      74.000 - 96.000     46.000 - 143.000                   bpm
LIDHO_DT_TWA                 36.206543    36.100000      35.949 - 36.522      35.000 - 38.474                    °C
LIDHO_DT_VAR                  0.137993     0.066667        0.033 - 0.150        0.000 - 1.600           °C/interval
LIDHO_DT_DELTA                0.012274     0.000000        0.000 - 0.100       -3.700 - 2.400                    °C
LIDHO_DT_INITIAL             36.198995    36.100000      35.900 - 36.500      35.000 - 39.500                    °C
LIDHO_RR_TWA                 19.643759    18.363636      16.000 - 22.188       7.000 - 58.364           breaths/min
LIDHO_RR_VAR                  3.474064     2.750000        1.750 - 4.333       0.000 - 26.000  breaths/min/interval
LIDHO_RR_DELTA               -0.155759     0.000000       -2.000 - 2.000     -36.000 - 27.000           breaths/min
LIDHO_RR_INITIAL             19.897185    18.000000      16.000 - 23.000       5.000 - 60.000           breaths/min
LIDHO_O2Sat_TWA              97.430165    98.000000      96.000 - 99.626     81.000 - 100.000                     %
LIDHO_O2Sat_VAR               1.473801     1.000000        0.500 - 2.000       0.000 - 18.000            %/interval
LIDHO_O2Sat_DELTA            -0.275320     0.000000       -1.000 - 1.000     -26.000 - 21.000                     %
LIDHO_O2Sat_INITIAL          97.410810    98.000000     96.000 - 100.000     70.000 - 100.000                     %
LIDHO_UF_DELTA               10.594194     6.122231       1.596 - 14.742      0.000 - 104.949                 mL/kg
LIDHO_UF_rate_TWA             0.138857     0.121171        0.068 - 0.182        0.000 - 0.600             mL/kg/min
LIDHO_UF_rate_MAXSCORE        2.130293     0.000000        0.000 - 0.758       0.000 - 66.305         mL/kg/min·min
LIDHO_BFR_TWA                 4.322869     4.074505        3.023 - 5.324       1.047 - 11.065             mL/kg/min
LIDHO_BFR_TIMEt               3.875499     3.436426        2.413 - 4.938       0.887 - 11.065             mL/kg/min
L6S_SBP_TWA_AVG             125.614304   123.963636    111.510 - 137.868     80.854 - 191.675                  mmHg
L6S_SBP_DELTA_AVG            -1.287341    -0.833333       -9.167 - 7.000     -67.000 - 63.000                  mmHg
L6S_SBP_MAXSCORE_MAX       2902.699131  1719.000000   208.000 - 4703.000    0.000 - 15540.000              mmHg·min
L6S_SBP_MINSCORE_MAX        615.389741   215.000000      0.000 - 896.000     0.000 - 6195.000              mmHg·min
L6S_MAP_TWA_AVG              87.480940    85.937327      78.207 - 95.783     55.914 - 135.897                  mmHg
